run_id,label,Statement->Step,Intention->Step,Goal->Intention,Goal->Step,Intention->ToolCall,ToolCall->Step,ToolCall->Observation,Observation->Step,Goal->Intention->ToolCall,Intention->ToolCall->Observation,Run->Step->TerminationSignal,Goal->Intention->ToolCall->Observation
aggregated_graph_std-007-bootstrap-00069,completed_False,43.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00070,completed_False,166.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0
aggregated_graph_std-007-bootstrap-00071,completed_False,6.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00073,completed_False,45.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
aggregated_graph_std-007-bootstrap-00074,completed_False,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aggregated_graph_std-007-bootstrap-00075,completed_False,81.0,31.0,0.0,3.0,3.0,5.0,5.0,1.0,0.0,3.0,6.0,0.0
aggregated_graph_std-007-bootstrap-00076,agent_invalid_action_False,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00077,completed_False,13.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00078,agent_invalid_action_False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00080,completed_False,1.0,12.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00081,completed_False,29.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
aggregated_graph_std-007-bootstrap-00082,completed_True,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-007-bootstrap-00083,agent_invalid_action_False,62.0,5.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00085,completed_True,1.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00087,completed_False,76.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0
